SAMPLEID,Ag109,Ag110m,Am0,Am241,Am242,Am242m,Am243,C14,Ce140,Ce142,Ce144,Cm0,Cm242,Cm243,Cm244,Cm245,Cm246,Cm247,Cs0,Cs133,Cs134,Cs135,Cs137,Eu0,Eu151,Eu152,Eu153,Eu154,Eu155,Gd0,Gd152,Gd154,Gd155,Gd156,Gd157,Gd158,Gd160,H3,I129,La139,Mo100,Mo95,Mo97,Mo98,Nb95,Nd0,Nd142,Nd143,Nd144,Nd145,Nd146,Nd148,Nd150,Np237,Pd105,Pd108,Pm147,Pr144,Pu0,Pu236,Pu238,Pu239,Pu240,Pu241,Pu242,Pu244,Rh103,Ru101,Ru103,Ru106,Sb125,Se79,Sm0,Sm147,Sm148,Sm149,Sm150,Sm151,Sm152,Sm154,Sn126,Sr90,Tc99,U0,U232,U233,U234,U235,U236,U238,Zr95,RTYPE,EU235,EPU,EPUFISS,EBUP
FDN-2|2F2D2|F6|TU202,0,0,0,0.13699,0,0,0.018394,0,0,0,0,0,5.9e-5,0,0.0051919999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3628,0,0,0,0,0,0,0,0,0.08622,4.474,1.8968,0.8143,0.26824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268,15.64,4.828,937.3,0,BWR,4.5,0,0,32.9
FDN-2|2F2D3|A4|TU304,0,0,0,0.20897,0,0,0.140582,0,0,0,0,0,2.66e-4,0.002356,0.066491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4166,0,0,0,0,0,0,0,0,0.25647,5.338,2.7071,1.2728,0.7314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161,6.21,4.531,939,0,BWR,3.4,0,0,37.8
FDN-2|2F2D3|A4|TU306,0,0,0,0.14672,0,0,0.07192,0,0,0,0,0,1.6e-4,0.001371,0.019562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355,0,0,0,0,0,0,0,0,0.13425,3.596,2.1672,0.7959,0.53701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,5.96,4.459,948.3,0,BWR,3.4,0,0,32.3
FDN-2|2F2D3|B3|TU308,0,0,0,0.18975,0,0,0.069001,0,0,0,0,0,1.69e-4,0.006498,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3329,0,0,0,0,0,0,0,0,0.16292,5.817,2.4342,1.0446,0.39292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211,10.67,4.217,943.3,0,BWR,3.4,0,0,30.2
FDN-2|2F2D3|B3|TU309,0,0,0,0.25654,0,0,0.101666,0,0,0,0,0,2.82e-4,9.79e-4,0.052828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3836,0,0,0,0,0,0,0,0,0.27554,7.221,3.4395,1.4917,0.71261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,8.86,4.513,936.6,0,BWR,3.4,0,0,34.8
FDN-2|2F2D3|B3|TU311,0,0,0,0.14934,0,0,0.06031,0,0,0,0,0,1.67e-4,6.13e-4,0.020678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3693,0,0,0,0,0,0,0,0,0.13402,3.753,2.2975,0.8329,0.54566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211,6.84,4.576,945.7,0,BWR,3.4,0,0,33.5
FDN-2|2F2D3|H5|TU301,0,0,0,0.23724,0,0,0.141009,0,0,0,0,0,2.73e-4,0.002344,0.067456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3804,0,0,0,0,0,0,0,0,0.26677,5.593,2.8392,1.3339,0.75269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162,6.46,4.611,941.5,0,BWR,3.4,0,0,34.6
FDN-2|2F2D3|H5|TU302,0,0,0,0.13633,0,0,0.052804,0,0,0,0,0,1.49e-4,3.17e-4,0.017089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3454,0,0,0,0,0,0,0,0,0.12481,3.523,2.1121,0.7681,0.49923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163,6.29,4.474,949.1,0,BWR,3.4,0,0,31.4
FDN-2|2F2D8|A4|TU505,0,0,0,0.26016,0,0,0.354597,0,0,0,0,0,4.26e-4,5.74e-4,0.223127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6502,0,0,0,0,0,0,0,0,0.52773,4.814,3.4904,1.3888,1.4906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139,2.27,4.851,918.6,0,BWR,3.4,0,0,59.1
FDN-2|2F2D8|A4|TU506,0,0,0,0.22239,0,0,0.251241,0,0,0,0,0,2.7e-4,0.003564,0.129343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6321,0,0,0,0,0,0,0,0,0.34429,3.424,2.9032,0.9677,1.33065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,1.51,4.69,924.2,0,BWR,3.4,0,0,57.5
